fqn,cast_from,engine_from,engine_to,cast_to
mysql_athena,"decimal(38,*)",mysql,athena,bigint
mysql_athena,binary,mysql,athena,string
mysql_athena,blob,mysql,athena,string
mysql_athena,char*,mysql,athena,string
mysql_athena,date*,mysql,athena,timestamp
mysql_athena,"decimal(*,*)",mysql,athena,double
mysql_athena,enum,mysql,athena,string
mysql_athena,longblob,mysql,athena,string
mysql_athena,longtext,mysql,athena,string
mysql_athena,mediumblob,mysql,athena,string
mysql_athena,mediumtext,mysql,athena,string
mysql_athena,set,mysql,athena,string
mysql_athena,smallint*,mysql,athena,int
mysql_athena,text,mysql,athena,string
mysql_athena,time,mysql,athena,string
mysql_athena,tinyblob,mysql,athena,string
mysql_athena,tinyint*,mysql,athena,int
mysql_athena,tinytext,mysql,athena,string
mysql_athena,varbinary,mysql,athena,string
mysql_athena,varchar*,mysql,athena,string
mysql_athena,double,mysql,athena,double
mysql_athena,bigint*,mysql,athena,bigint
mysql_athena,int*,mysql,athena,int
mysql_redshift,"decimal(38,*)",mysql,redshift,bigint
mysql_redshift,binary,mysql,redshift,varchar
mysql_redshift,blob,mysql,redshift,varchar
mysql_redshift,char*,mysql,redshift,varchar
mysql_redshift,date*,mysql,redshift,timestamp
mysql_redshift,"decimal(*,*)",mysql,redshift,double precision
mysql_redshift,enum,mysql,redshift,varchar
mysql_redshift,longblob,mysql,redshift,varchar
mysql_redshift,longtext,mysql,redshift,varchar
mysql_redshift,mediumblob,mysql,redshift,varchar
mysql_redshift,mediumtext,mysql,redshift,varchar
mysql_redshift,set,mysql,redshift,varchar
mysql_redshift,smallint*,mysql,redshift,int
mysql_redshift,text,mysql,redshift,varchar
mysql_redshift,time,mysql,redshift,varchar
mysql_redshift,tinyblob,mysql,redshift,varchar
mysql_redshift,tinyint*,mysql,redshift,int
mysql_redshift,tinytext,mysql,redshift,varchar
mysql_redshift,varbinary,mysql,redshift,varchar
mysql_redshift,varchar*,mysql,redshift,varchar
mysql_redshift,int*,mysql,redshift,varchar
mysql_redshift,bigint*,mysql,redshift,bigint
mysql_redshift,double,mysql,redshift,double precision
mysql_snowflake,"decimal(38,*)",mysql,snowflake,bigint
mysql_snowflake,binary,mysql,snowflake,varchar
mysql_snowflake,blob,mysql,snowflake,varchar
mysql_snowflake,char*,mysql,snowflake,varchar
mysql_snowflake,date*,mysql,snowflake,timestamp
mysql_snowflake,"decimal(*,*)",mysql,snowflake,double precision
mysql_snowflake,enum,mysql,snowflake,varchar
mysql_snowflake,longblob,mysql,snowflake,varchar
mysql_snowflake,longtext,mysql,snowflake,varchar
mysql_snowflake,mediumblob,mysql,snowflake,varchar
mysql_snowflake,mediumtext,mysql,snowflake,varchar
mysql_snowflake,set,mysql,snowflake,varchar
mysql_snowflake,smallint*,mysql,snowflake,int
mysql_snowflake,text,mysql,snowflake,varchar
mysql_snowflake,time,mysql,snowflake,varchar
mysql_snowflake,tinyblob,mysql,snowflake,varchar
mysql_snowflake,tinyint*,mysql,snowflake,int
mysql_snowflake,tinytext,mysql,snowflake,varchar
mysql_snowflake,varbinary,mysql,snowflake,varchar
mysql_snowflake,varchar*,mysql,snowflake,varchar
mysql_snowflake,int*,mysql,snowflake,varchar
mysql_snowflake,bigint*,mysql,snowflake,bigint
mysql_snowflake,double,mysql,snowflake,double
athena_redshift,timestamp,athena,redshift,timestamp
athena_redshift,integer,athena,redshift,int
athena_redshift,varchar,athena,redshift,varchar
athena_redshift,double,athena,redshift ,double precision
athena_redshift,bigint,athena,redshift,bigint
athena_redshift,string,athena,redshift,varchar
oracle_mysql,bfile,oracle,mysql,varchar(255)
oracle_mysql,binary_float,oracle,mysql,float
oracle_mysql,binary_double,oracle,mysql,double
oracle_mysql,blob,oracle,mysql,longblob
oracle_mysql,char*,oracle,mysql,varchar
oracle_mysql,character*,oracle,mysql,varchar
oracle_mysql,clob,oracle,mysql,longtext
oracle_mysql,date,oracle,mysql,datetime
oracle_mysql,"decimal(*,*)",oracle,mysql,decimal
oracle_mysql,"dec(*,*)",oracle,mysql,dec
oracle_mysql,double precision,oracle,mysql,double precision
oracle_mysql,float*,oracle,mysql,double
oracle_mysql,integer,oracle,mysql,int
oracle_mysql,int,oracle,mysql,int
oracle_mysql,year*,oracle,mysql,varchar(30)
oracle_mysql,month*,oracle,mysql,varchar(30)
oracle_mysql,long,oracle,mysql,longtext
oracle_mysql,long raw,oracle,mysql,longblob
oracle_mysql,nchar*,oracle,mysql,nvarchar
oracle_mysql,nchar varying*,oracle,mysql,nvarchar varying
oracle_mysql,nclob,oracle,mysql,nvarchar(max)
oracle_mysql,number(*),oracle,mysql,bigint
oracle_mysql,"number(*,*)",oracle,mysql,decimal
oracle_mysql,nvarchar2*,oracle,mysql,nvarchar
oracle_mysql,raw*,oracle,mysql,binary
postgresql_mysql,int,postgresql,mysql,int
postgresql_mysql,smallint,postgresql,mysql,smallint
postgresql_mysql,bigint,postgresql,mysql,bigint
postgresql_mysql,serial,postgresql,mysql,int
postgresql_mysql,smallserial,postgresql,mysql,smallint
postgresql_mysql,bigserial,postgresql,mysql,bigint
postgresql_mysql,bit,postgresql,mysql,bit
postgresql_mysql,boolean,postgresql,mysql,tinyint(1)
postgresql_mysql,real,postgresql,mysql,float
postgresql_mysql,double precision,postgresql,mysql,double
postgresql_mysql,numeric,postgresql,mysql,decimal
postgresql_mysql,decimal,postgresql,mysql,decimal
postgresql_mysql,money,postgresql,mysql,"decimal(19,2)"
postgresql_mysql,char,postgresql,mysql,varchar
postgresql_mysql,national character,postgresql,mysql,longtext
postgresql_mysql,varchar,postgresql,mysql,varchar
postgresql_mysql,national character varying,postgresql,mysql,varchar
postgresql_mysql,date,postgresql,mysql,date
postgresql_mysql,time,postgresql,mysql,time
postgresql_mysql,timestamp,postgresql,mysql,datetime
postgresql_mysql,interval,postgresql,mysql,time
postgresql_mysql,bytea,postgresql,mysql,longblob
postgresql_mysql,text,postgresql,mysql,longtext
postgresql_mysql,cidr,postgresql,mysql,varchar(43)
postgresql_mysql,inet,postgresql,mysql,varchar(43)
postgresql_mysql,macaddr,postgresql,mysql,varchar(17)
postgresql_mysql,uuid,postgresql,mysql,varchar(36)
postgresql_mysql,xml,postgresql,mysql,longtext
postgresql_mysql,json,postgresql,mysql,longtext
postgresql_mysql,tsvector,postgresql,mysql,longtext
postgresql_mysql,tsquery,postgresql,mysql,longtext
postgresql_mysql,array,postgresql,mysql,longtext
postgresql_mysql,point,postgresql,mysql,point
postgresql_mysql,line,postgresql,mysql,linestring
postgresql_mysql,lseg,postgresql,mysql,lonestring
postgresql_mysql,box,postgresql,mysql,polygon
postgresql_mysql,path,postgresql,mysql,linestring
postgresql_mysql,polygon,postgresql,mysql,polygon
postgresql_mysql,circle,postgresql,mysql,polygon
postgresql_mysql,txid_snapshot,postgresql,mysql,varchar
oracle_mysql,real,postgresql,mysql,int
oracle_mysql,rowid,postgresql,mysql,int
oracle_mysql,smallint,postgresql,mysql,int
oracle_mysql,timestamp,postgresql,mysql,int
oracle_mysql,urowid*,postgresql,mysql,int
oracle_mysql,varchar*,postgresql,mysql,int
oracle_mysql,xmltype,postgresql,mysql,int
mssql_athena,"decimal(38,*)",mssql,athena,bigint
mssql_athena,binary,mssql,athena,string
mssql_athena,blob,mssql,athena,string
